Fines Imposed by Federal Student Aid in Fiscal Year 2010,,,,,,,,
OPEID,School,City,State,School Type,Referral Reason,"Imposed Fine
Amount","Imposed Fine 
Date",
02280500,Charles of Italy Beauty College,Lake Havasu City,AZ,Prop,IPEDS Nonsubmission,"$15,750",10/26/09,
03445300,HDS Truck Driving Institute,Tucson,AZ,Prop,IPEDS Nonsubmission,"$1,000",10/15/09,
02098800,University of Phoenix,Tempe,AZ,Prop,Qui Tam,"$48,500,000",12/15/09,
03698400,California College of Vocational Careers,Bakersfield,CA,Prop,IPEDS Nonsubmission,"$3,500",10/27/09,
02125000,Career Academy of Beauty,Garden Grove,CA,Prop,IPEDS Nonsubmission,"$7,000",10/26/09,
03162300,Four-D College,Colton,CA,Prop,IPEDS Nonsubmission,"$5,000",10/8/09,
00565500,Hacienda La Puente Adult Education,La Puente,CA,Pub,IPEDS Nonsubmission,"$8,750",10/8/09,
02228500,Life Chiropractic College West,Hayward,CA,Priv,IPEDS Nonsubmission,"$15,000",10/28/09,
01047400,Marymount California University,Rancho Palos Verdes,CA,Priv,IPEDS Nonsubmission,"$7,500",10/26/09,
03590400,NTMA Training Centers of Southern California,Santa Fe Springs,CA,Priv,IPEDS Nonsubmission,"$17,500",10/8/09,
02596400,Spartan College of Aeronautics & Technology,Inglewood,CA,Prop,IPEDS Nonsubmission,"$12,500",10/26/09,
03972300,Cuttin' Up Beauty Academy,Denver,CO,Prop,IPEDS Nonsubmission,"$9,000",10/26/09,
02329900,Florida Institute of Ultrasound,Pensacola,FL,Prop,IPEDS Nonsubmission,"$7,000",10/30/09,
02578300,International City Beauty College,Warner Robins,GA,Prop,IPEDS Nonsubmission,"$2,250",10/26/09,
03081500,Southeastern Beauty Schools,Columbus,GA,Prop,IPEDS Nonsubmission,"$4,000",10/30/09,
02354500,Southeastern Beauty Schools,Columbus,GA,Prop,IPEDS Nonsubmission,"$5,000",10/30/09,
03881400,European Massage Therapy School,Skokie,IL,Prop,IPEDS Nonsubmission,"$3,500",10/8/09,
02196400,Cutting Edge Hairstyling Academy,Kansas City,KS,Prop,IPEDS Nonsubmission,"$17,500",10/26/09,
03061400,Ascension College,Gonzales,LA,Prop,LOC Nonsubmission,"$99,500",8/19/10,
01163100,"D-Jay's School of Beauty, Arts & Sciences",Baton Rouge,LA,Prop,IPEDS Nonsubmission,"$21,000",10/30/09,
01229100,Wright Beauty Academy,Battle Creek,MI,Prop,IPEDS Nonsubmission,"$1,000",10/8/09,
00953000,Gerber Akron Beauty School,Akron,OH,Prop,IPEDS Nonsubmission,"$2,000",10/30/09,
02066100,Ohio State College of Barber Styling,Columbus,OH,Prop,IPEDS Nonsubmission,"$7,000",10/28/09,
03326300,Universal Career Community College,Santurce,PR,Prop,IPEDS Nonsubmission,"$3,000",1/8/10,
0536300,Denmark Technical College,Denmark,SC,Pub,Incentive Compensation,"$54,000",12/18/09,
03892300,Harley's Beauty & Barber Career Institute,Columbia,SC,Prop,IPEDS Nonsubmission,"$2,000",10/8/09,
02143700,Sinte Gleska University,Mission,SD,Pub,IPEDS Nonsubmission,"$5,000",10/26/09,
03930300,Buchanan Beauty College,Shelbyville,TN,Prop,IPEDS Nonsubmission,"$2,000",10/26/09,
02200800,American Commercial College,Lubbock,TX,Prop,IPEDS Nonsubmission,"$3,500",10/26/09,
02596600,ATI Career Training Center,Dallas,TX,Prop,IPEDS Nonsubmission,"$33,750",10/8/09,
00361000,Schreiner University,Kerrville,TX,Priv,Campus Security,"$42,000",7/2/10,
01249600,TONI & GUY Hairdressing Academy,Shoreline,WA,Prop,IPEDS Nonsubmission,"$3,000",10/26/09,
