Fines Imposed by Federal Student Aid in Fiscal Year 2012,,,,,,,,
OPEID,School,City,State,School Type,Referral Reason,"Imposed Fine 
Amount","Imposed Fine 
Date",
04132700,InfoTech Career College,Paramount,CA,Prop,IPEDS Nonsubmission,"$15,000",10/13/11,
04093300,Academy of Natural Therapy,Greeley,CO,Prop,IPEDS Nonsubmission,"$3,500",1/25/12,
04120400,Hi-Tech The School of Cosmetology,Miami,FL,Prop,IPEDS Nonsubmission,"$17,500",12/20/11,
03911300,Total International Career Institute,Hialeah,FL,Prop,IPEDS Nonsubmission,"$7,000",8/29/12,
02577000,Paul Mitchell The School - Esani,Roswell,GA,Prop,IPEDS Nonsubmission,"$5,000",1/20/12,
04091300,Savannah School of Massage Therapy Training,Savannah,GA,Priv,IPEDS Nonsubmission,"$3,000",2/8/12,
00169400,Chicago State University,Chicago,IL,Pub,IPEDS Nonsubmission,"$3,750",12/15/11,
03199300,Christian Life College,Mount Prospect,IL,Priv,IPEDS Nonsubmission,"$2,000",8/22/12,
04171600,Salon Professional Academy of Elgin (The),Elgin,IL,Prop,IPEDS Nonsubmission,$500,9/14/12,
02159100,Appalachian Beauty School,South Williamson,KY,Prop,IPEDS Nonsubmission,"$1,000",12/22/11,
02323700,Pat Wilson's Beauty College,Henderson,KY,Prop,IPEDS Nonsubmission,"$7,000",1/27/12,
04120700,Alden's School of Cosmetology,Baker,LA,Prop,IPEDS Nonsubmission,"$1,750",8/24/12,
00466900,Upper Cape Cod Regional Technical School,Bourne,MA,Pub,IPEDS Nonsubmission,"$7,000",11/8/11,
01321800,M.J. Murphy Beauty College of Mount Pleasant,Mount Pleasant,MI,Prop,IPEDS Nonsubmission,"$14,000",9/7/12,
003579300,Texas County Technical Institute,Houston,MO,Priv,IPEDS Nonsubmission,"$5,000",12/2/11,
02210400,Fayetteville Beauty College,Fayetteville,NC,Prop,IPEDS Nonsubmission,"$12,250",1/25/12,
00904300,Elmira Business Institute,Elmira,NY,Prop,Incentive Compensation,"$34,000",11/29/11,
02511500,"Joffrey Ballet School, American Ballet Center",New York,NY,Prop,Audit - Late/Missing,"$40,000",4/5/12,
00308500,Notre Dame College of Ohio,South Euclid,OH,Priv,Campus Security,"$89,000",1/4/12,
02581200,CC's Cosmetology College,Tulsa,OK,Prop,IPEDS Nonsubmission,"$12,500",12/22/11,
00335700,Point Park University,Pittsburgh,PA,Priv,Qui Tam,"$550,000",10/31/11,
01044700,Plaza Beauty School,Memphis,TN,Prop,IPEDS Nonsubmission,"$20,000",9/25/12,
03731300,International Renowned Beauty Academy,Fort Worth,TX,Prop,IPEDS Nonsubmission,"$4,000",2/7/12,
00363100,Tarleton State University,Stephenville,TX,Pub,Campus Security,"$123,500",7/25/12,
03612400,Valley Grande Institute for Academic Studies,Weslaco,TX,Priv,IPEDS Nonsubmission,"$16,250",12/2/11,
02557700,Premier Hair Academy,West Valley City,UT,Prop,IPEDS Nonsubmission,$500,2/7/12,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
