Fines Imposed by Federal Student Aid in Fiscal Year 2013,,,,,,,
OPEID,School,City,State,School Type,Referral Reason,"Imposed Fine 
Amount","Imposed Fine 
Date"
00107400,Grand Canyon University,Phoenix,AZ,Prop,Incentive Compensation,"$1,750,000",9/27/13
00142600,Yale University,New Haven,CT,Priv,Campus Security,"$155,000",7/9/13
00143300,Wesley College,Dover,DE,Priv,Campus Security,"$45,000",1/2/13
02200100,"GUTI, The Premier Beauty and Wellness Academy",Bradenton,FL,Prop,IPEDS Nonsubmission,"$14,000",10/17/12
00189000,University of Northern Iowa,Cedar Falls,IA,Pub,Campus Security,"$110,000",3/27/13
03262300,David Demuth Institute of Cosmetology,Richmond,IN,Prop,IPEDS Nonsubmission,"$6,000",10/16/12
00749100,TESST College of Technology,Baltimore,MD,Prop,Program Review - Severe Findings,"$134,000",7/18/13
00467300,Baker College,Flint,MI,Priv,Location Reporting violation,"$27,500",3/7/13
00226100,Charles Stewart Mott Community College,Flint,MI,Pub,Ineligible Location,"$82,637",8/2/13
00298900,Dickinson State University,Dickinson,ND,Pub,IPEDS Nonsubmission,"$32,500",1/18/13
00300500,University of North Dakota,Grand Forks,ND,Pub,Campus Security,"$115,000",7/17/13
00271300,Dominican College of Blauvelt,Orangeburg,NY,Priv,Campus Security,"$200,000",9/17/13
00278200,New York Institute of Technology,Old Westbury,NY,Priv,Qui Tam,"$3,200,000",12/20/12
00747300,Choffin Career & Technical Center,Youngstown,OH,Pub,IPEDS Nonsubmission,"$3,500",9/10/13
03326300,Universal Career Community College,Santurce,PR,Prop,Fraud,"$10,000",9/20/13
00365600,University of Texas at Arlington,Arlington,TX,Pub,Campus Security,"$49,500",7/31/13
0369600,University of Vermont and State Agricultural College,Burlington,VT,Pub,Campus Security,"$55,000",10/11/12
00380000,Washington State University,Pullman,WA,Pub,Campus Security,"$82,500",2/14/13
,,,,,,,
