OPEID,SCH_NAME,CTY_NAME,ST_CD,SCH_TYPE,REASON_REFER_DESC,IMPOSED_FINE_AMT,OUTCOME_DT
Fines Imposed by Federal Student Aid in Fiscal Year 2014,,,,,,,
OPEID,School,City,State,School Type,Referral Reason,"Imposed Fine 
Amount ","Imposed Fine 
Date"
03109500,Dongguk University Los Angeles,Los Angeles,CA,Priv,IPEDS Nonsubmission,"$1,750 ",9/9/14
03479300,PCI College,Cerritos,CA,Prop,IPEDS Nonsubmission,"$12,250 ",8/27/14
04134500,San Diego College,San Diego,CA,Prop,IPEDS Nonsubmission,"$25,000 ",12/13/13
03409600,Bennett Career Institute,Washington,DC,Prop,Incentive Compensation,"$6,750 ",5/28/14
00765600,American College of Hairstyling-Cedar Rapids,Cedar Rapids,IA,Prop,IPEDS Nonsubmission,"$1,000 ",10/30/13
04117600,Larry's Barber College,Chicago,IL,Prop,IPEDS Nonsubmission,"$3,500 ",12/5/13
02134800,Old Town Barber  College,Wichita,KS,Prop,IPEDS Nonsubmission,"$19,250 ",11/13/13
03886300,Regency School of Hair Design,Prestonsburg,KY,Prop,IPEDS Nonsubmission,"$6,000 ",9/5/14
04193100,Alexander Academy,Lunenburg,MA,Prop,IPEDS Nonsubmission,"$7,000 ",8/21/14
04118700,American Business & Technology University,Saint Joseph,MO,Prop,IPEDS Nonsubmission,"$3,500 ",11/8/13
00255100,University of Nebraska - Kearney,Kearney,NE,Pub,Campus Security,"$65,000 ",8/21/14
04190300,American Institute of Medical Sonography,Las Vegas,NV,Prop,IPEDS Nonsubmission,"$8,000 ",8/21/14
01083700,Simmons Institute of Funeral Service,Syracuse,NY,Prop,IPEDS Nonsubmission,"$3,500 ",9/5/14
00321000,Oregon State University,Corvallis,OR,Pub,Campus Security,"$220,500 ",2/19/14
02241900,Commonwealth of Puerto Rico Department of Education,Hato Rey,PR,Pub,IPEDS Nonsubmission,"$10,000 ",3/25/14
02276000,Franklin Beauty School, Houston,TX,Prop,IPEDS Nonsubmission,"$10,500 ",10/30/13
02053000,Liberty University,Lynchburg,VA,Priv,Campus Security,"$120,000 ",12/18/13
00375400,Virginia Polytechnic Institute & State University,Blacksburg,VA,Pub,Campus Security,"$32,500 ",1/3/14
