Fines Imposed by Federal Student Aid in FY 2019,,,,,,,
OPE-ID,School Name,City,State,School Type,Referral Reason,Imposed Fine Amount,Imposed Fine Date
118500,College of the Redwoods,Eureka,CA,Pub,Campus Security-Part 86,"$56,000",1/28/19
171700,MacMurray College,Jacksonville,IL,Priv,IPEDS Nonsubmission,"$2,500",10/4/18
229000,Michigan State University,East Lansing,MI,Pub,Program Review - Severe Findings (Campus Security),"$4,500,000",9/3/19
253600,University of Montana (The),Missoula,MT,Pub,Campus Security,"$395,000",1/11/19
398500,Oral Roberts University,Tulsa,OK,Priv,Qui Tam,"$303,502",5/28/19
336600,Saint Francis University,Loretto,PA,Priv,Campus Security,"$51,000",10/23/18
2166400,National University College-IBC Institute,Hato Rey,PR,Prop,Program Review - Severe Findings,"$286,585",7/11/19
344100,North Greenville University,Tigerville,SC,Priv,Qui Tam,"$2,500,000",12/14/18
4154800,DuVall's School of Cosmetology,Bedford,TX,Prop,IPEDS Nonsubmission,"$6,000",10/4/18
3612400,Valley Grande Institute for Academic Studies,Weslaco,TX,Priv,Campus Security-Part 86,"$35,000",10/23/18
378000,Green River College,Auburn,WA,Pub,Campus Security-Part 86,"$250,000",12/6/18
384200,Concordia University,Mequon,WI,Priv,Campus Security-Part 86,"$68,000",11/8/18
381100,Davis & Elkins College,Elkins,WV,Priv,Campus Security-Part 86,"$36,000",12/20/18
